0:0:0:0:0:0:0:1 - - [10/May/2019:12:12:26 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/May/2019:12:13:05 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 200 564
0:0:0:0:0:0:0:1 - - [10/May/2019:12:13:05 +0530] "GET /GT_GenialToil/EmployeeSignup.css HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [10/May/2019:12:13:05 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/May/2019:12:13:06 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 200 564
0:0:0:0:0:0:0:1 - - [10/May/2019:12:13:06 +0530] "GET /GT_GenialToil/EmployeeSignup.css HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [10/May/2019:12:13:06 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/May/2019:12:13:06 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 200 564
0:0:0:0:0:0:0:1 - - [10/May/2019:12:13:06 +0530] "GET /GT_GenialToil/EmployeeSignup.css HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [10/May/2019:12:13:06 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/May/2019:12:13:41 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 200 564
0:0:0:0:0:0:0:1 - - [10/May/2019:12:13:41 +0530] "GET /GT_GenialToil/EmployeeSignup.css HTTP/1.1" 200 235
0:0:0:0:0:0:0:1 - - [10/May/2019:12:13:41 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/May/2019:12:13:41 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 200 564
0:0:0:0:0:0:0:1 - - [10/May/2019:12:13:41 +0530] "GET /GT_GenialToil/EmployeeSignup.css HTTP/1.1" 200 235
0:0:0:0:0:0:0:1 - - [10/May/2019:12:13:42 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/May/2019:12:13:42 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 304 -
